ratio,value,uncert,notes
N2,0.008,0.007,
log_N2,-2.085,0.36,
[OIII]/Hbeta,4.688,3.254,
[NII]/[OII],0.039,0.04,
log_NII_OII,-1.405,0.436,
R23,7.716,4.611,
kk04_R23,6.819,4.185,
log_kk04_R23,0.834,0.266,
KD02_O32,3.137,2.213,
log_KD02_O32,0.496,0.306,
KK04_O32,10.413,7.992,
log_KK04_O32,1.018,0.333,
Halpha/Hbeta,3.309,0.483,"from observed, pre-dust-correction fluxes"
Hgamma/Hbeta,0.561,0.12,"from observed, pre-dust-correction fluxes"
E(B-V),0.148,0.147,derived from observed Halpha/Hbeta decrement
