ratio,value,uncert,notes
N2,0.015,0.003,
log_N2,-1.83,0.085,
12+log(O/H)_N2,7.857,0.049,
[OIII]/Hbeta,6.61,1.155,
O3N2,446.8,117.418,
log_O3N2,2.65,0.114,
[NII]/[OII],0.062,0.021,
log_NII_OII,-1.206,0.144,
R23,10.145,1.55,
kk04_R23,9.539,1.484,
log_kk04_R23,0.979,0.068,
KD02_O32,5.14,1.063,
log_KD02_O32,0.711,0.09,
KK04_O32,13.029,3.874,
log_KK04_O32,1.115,0.129,
Halpha/Hbeta,3.531,0.13,"from observed, pre-dust-correction fluxes"
Hgamma/Hbeta,0.465,0.028,"from observed, pre-dust-correction fluxes"
E(B-V),0.213,0.037,derived from observed Halpha/Hbeta decrement
