quantity,value,uncertainty,notes
log_M_btfr6_26_corrected_edgeon,8.523131795996685,0.235471337470965,"Ubler 2017 eq. 6.26, instrumental-broadening corrected, edge-on (i=90deg)"
log_M_btfr6_26_corrected_45deg,9.08756303786665,0.235471337470965,"Ubler 2017 eq. 6.26, instrumental-broadening corrected, i=45deg"
SFR_MZR,,,no real solution -- metallicity exceeds max achievable value at this mass under Mannucci+10 eq. 2
Halpha/Hbeta_cumulative,3.530844429763844,0.1296696329606303,"observed, pre-dust-correction fluxes"
Hgamma/Hbeta_cumulative,0.4654027214180721,0.0278613460422339,"observed, pre-dust-correction fluxes"
Halpha/Hbeta_central,3.6136268709497226,0.1942973063066326,"central component, observed fluxes"
Hgamma/Hbeta_central,0.4713585427543186,0.0362392223864046,"central component, observed fluxes"
Halpha/Hbeta_red_wing,3.0961900892691343,0.5923293210541914,"red_wing component, observed fluxes"
Hgamma/Hbeta_red_wing,0.4341313121925595,0.1417749403290352,"red_wing component, observed fluxes"
E(B-V)_cumulative,0.2130578640036183,0.0371330757107217,derived from cumulative Halpha/Hbeta decrement
abundance_cumulative_12log(O/H),8.341090761518412,0.2123325646466278,KD02 [NII]/[OII] method
